posto,revista,artigos
1,energies,24
2,journal of cleaner production,12
3,Sustainability,9
4,energy,9
5,international journal of energy economics and policy,7
6,energy and buildings,6
7,energy efficiency,6
8,Applied Sciences,5
9,applied energy,5
10,chemical engineering transactions,4
11,sustainable energy technologies and assessments,4
12,dyna (colombia),3
13,journal of building engineering,3
14,processes,3
15,strategic planning for energy and the environment,3
16,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",2
17,building and environment,2
18,cleaner energy systems,2
19,energy and environment,2
20,energy conversion and management,2
21,energy engineering: journal of the association of energy engineering,2
22,energy reports,2
23,"energy sources, part a: recovery, utilization and environmental effects",2
24,international journal of energy production and management,2
25,international journal of sustainable energy planning and management,2
26,international journal of sustainable engineering,2
27,journal - american water works association,2
28,"journal of sustainable development of energy, water and environment systems",2
29,sustainable cities and society,2
30,agronomy research,1
31,aims energy,1
32,applied system innovation,1
33,applied thermal engineering,1
34,asm science journal,1
35,atmospheric environment: x,1
36,automation in construction,1
37,brazilian archives of biology and technology,1
38,buildings,1
39,chemical engineering & technology,1
40,chimia,1
41,developments in the built environment,1
42,eai endorsed transactions on energy web,1
43,economic analysis and policy,1
44,energy and ai,1
45,energy economics,1
46,energy for sustainable development,1
47,energy informatics,1
48,engineering proceedings,1
49,"environment, development and sustainability",1
50,environmental and climate technologies,1
51,ergonomics in design,1
52,eurasian mining,1
53,facilities,1
54,frontiers in sustainable cities,1
55,fuel,1
56,gestao e producao,1
57,heliyon,1
58,ieee access,1
59,ieee latin america transactions,1
60,ieee transactions on cybernetics,1
61,indonesian journal of electrical engineering and computer science,1
62,ingeniare,1
63,ingenieria y competitividad,1
64,international business management,1
65,international energy journal,1
66,international journal of advanced manufacturing technology,1
67,international journal of ambient energy,1
68,international journal of energy research,1
69,international journal of energy sector management,1
70,international journal of engineering business management,1
71,international journal of enterprise information systems,1
72,international journal of environmental science and technology,1
73,international journal of renewable energy development,1
74,international journal of smart grid and clean energy,1
75,international journal of sustainable transportation,1
76,"international journal on advanced science, engineering and information technology",1
77,international journal on interactive design and manufacturing,1
78,international journal on technical and physical problems of engineering,1
79,journal of air transport management,1
80,journal of applied research on industrial engineering,1
81,journal of engineering and technology for industrial applications,1
82,journal of environmental engineering (japan),1
83,journal of environmental management,1
84,journal of facilities management,1
85,journal of industrial ecology,1
86,journal of mechanical engineering,1
87,journal of renewable energy and smart grid technology,1
88,journal of thermal engineering,1
89,jurnal teknologi,1
90,"linked data in architecture and construction 2025, ldac 2025",1
91,management and marketing,1
92,management and production engineering review,1
93,mathematical problems in engineering,1
94,metallurgist,1
95,methodsx,1
96,microsystem technologies,1
97,"mining, metallurgy and exploration",1
98,pakistan journal of engineering and applied sciences,1
99,problems of the regional energetics,1
100,procedia cirp,1
101,proceedings of the estonian academy of sciences,1
102,quality innovation prosperity,1
103,rem - international engineering journal.,1
104,renewable energy,1
105,renewable energy and power quality journal,1
106,resources,1
107,results in control and optimization,1
108,rocznik ochrona srodowiska,1
109,sae international journal of materials and manufacturing,1
110,solar energy,1
111,transactions on energy systems and engineering applications,1
112,water science and technology,1
