,Rácio,Regr. linear,Regr. múltipla,Modelo físico,Ponto de mudança,Aprend. automática,Média SEC,Outra,Índice composto,Integração
Edifícios / serviços públicos,16,9,12,7,3,5,2,4,1,0
Alimentação / bebidas / agricultura,3,0,3,0,0,0,2,4,0,1
Metais / metalomecânica,4,4,1,1,1,0,0,1,0,0
Química / farmacêutica,1,3,2,2,2,1,1,0,0,0
Automóvel / componentes,4,0,3,1,0,0,0,3,0,0
Petroquímica / polímeros,2,3,0,1,1,1,1,0,0,0
Indústria não especificada,1,1,3,1,2,0,0,3,0,0
Vidro / cerâmica,2,3,2,0,1,0,1,0,0,0
Transportes / logística,1,2,4,3,0,0,0,0,0,0
Cimento / cal,2,3,2,0,2,0,1,1,0,0
