country,country_pt,lon,lat
Algeria,Algeria,2.808241,27.397406
Bosnia and Herzegovina,Bósnia e Herzegovina,17.78,44.18
Brazil,Brazil,-49.55945,-12.098687
Canada,Canada,-101.9107,60.324287
China,China,106.337289,32.498178
Colombia,Colômbia,-73.174347,3.373111
Cuba,Cuba,-77.975855,21.334024
Denmark,Dinamarca,9.32,55.96
Ecuador,Ecuador,-78.188375,-1.259076
Egypt,Egypt,29.445837,26.186173
Germany,Germany,9.678348,50.961733
Greece,Greece,21.72568,39.492763
Honduras,Honduras,-86.887604,14.794801
Hong Kong,Hong Kong,114.17,22.3
India,Índia,79.35,22.89
Indonesia,Indonesia,101.892949,-0.954404
"Iran, Islamic Republic of","Iran, Islamic Republic of",54.931495,32.166225
Ireland,Ireland,-7.798588,53.078726
Italy,Itália,11.076907,44.732482
Japan,Japan,138.44217,36.142538
Jordan,Jordan,36.375991,30.805025
"Korea, Republic of","Korea, Republic of",128.129504,36.384924
Kuwait,Kuwait,47.313999,29.413628
Latvia,Latvia,25.458723,57.066872
Malaysia,Malaysia,113.83708,2.528667
Mexico,Mexico,-102.289448,23.919988
Morocco,Morocco,-7.187296,31.650723
Netherlands,Netherlands,5.61144,52.422211
New Zealand,New Zealand,172.787,-39.759
Nigeria,Nigeria,7.50322,9.439799
Norway,Norway,9.679975,61.357092
Pakistan,Pakistan,68.545632,29.328389
Philippines,Filipinas,122.68,11.42
Poland,Poland,19.490468,51.990316
Portugal,Portugal,-8.271754,39.606675
Romania,Romania,24.972624,45.733237
Russian Federation,Russian Federation,44.686469,58.249357
Saudi Arabia,Saudi Arabia,44.6996,23.806908
Slovakia,Slovakia,19.049868,48.734044
South Africa,South Africa,23.665734,-29.708776
Spain,Spain,-3.464718,40.090953
Sweden,Sweden,19.01705,65.85918
"Taiwan, Province of China","Taiwan, Province of China",120.868204,23.652408
Thailand,Thailand,101.073198,15.45974
Türkiye,Turquia,35.17,39.06
Ukraine,Ukraine,32.140865,49.724739
United Arab Emirates,United Arab Emirates,54.547256,23.466285
United Kingdom,United Kingdom,-2.116346,54.402739
United States,United States,-97.482602,39.538479
Viet Nam,Viet Nam,105.387292,21.715416
