rank,source,n,cumulative_pct
1,energies,24,7.2508
2,journal of cleaner production,12,10.8761
3,Sustainability,9,13.5952
4,energy,9,16.3142
5,energy procedia,9,19.0332
6,international journal of energy economics and policy,7,21.1480
7,procedia cirp,7,23.2628
8,energy and buildings,6,25.0755
9,energy efficiency,6,26.8882
10,Applied Sciences,5,28.3988
11,applied energy,5,29.9094
12,chemical engineering transactions,4,31.1178
13,eceee industrial summer study proceedings,4,32.3263
14,journal of physics: conference series,4,33.5347
15,sustainable energy technologies and assessments,4,34.7432
16,dyna (colombia),3,35.6495
17,e3s web of conferences,3,36.5559
18,iop conference series: earth and environmental science,3,37.4622
19,journal of building engineering,3,38.3686
20,processes,3,39.2749
21,strategic planning for energy and the environment,3,40.1813
22,"2011 proceedings of the 8th conference on the industrial and commercial use of energy, icue 2011",2,40.7855
23,"2025 5th international conference on innovative research in applied science, engineering and technology, iraset 2025",2,41.3897
24,"9th international youth conference on energy, iyce 2024",2,41.9940
25,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",2,42.5982
26,aip conference proceedings,2,43.2024
27,building and environment,2,43.8066
28,cleaner energy systems,2,44.4109
29,energy and environment,2,45.0151
30,energy conversion and management,2,45.6193
31,energy engineering: journal of the association of energy engineering,2,46.2236
32,energy reports,2,46.8278
33,"energy sources, part a: recovery, utilization and environmental effects",2,47.4320
34,ieee international conference on automation science and engineering,2,48.0363
35,"ieee international conference on emerging technologies and factory automation, etfa",2,48.6405
36,international journal of energy production and management,2,49.2447
37,international journal of sustainable energy planning and management,2,49.8489
38,international journal of sustainable engineering,2,50.4532
39,journal - american water works association,2,51.0574
40,"journal of sustainable development of energy, water and environment systems",2,51.6616
41,lecture notes in mechanical engineering,2,52.2659
42,materials today: proceedings,2,52.8701
43,proceedings aceee summer study on energy efficiency in industry,2,53.4743
44,"proceedings of the conference on the industrial and commercial use of energy, icue",2,54.0785
45,proceedings of the summer school francesco turco,2,54.6828
46,"society of petroleum engineers - 30th abu dhabi international petroleum exhibition and conference, adipec 2014: challenges and opportunities for the next 30 years",2,55.2870
47,society of petroleum engineers - abu dhabi international petroleum exhibition and conference 2016,2,55.8912
48,"society of petroleum engineers - abu dhabi international petroleum exhibition and conference, adipec 2015",2,56.4955
49,sustainable cities and society,2,57.0997
50,"10th international power and energy conference, ipec 2012",1,57.4018
51,"2015 5th international conference on electric drives production, edpc 2015 - proceedings",1,57.7039
52,"2016 ieee conference on technologies for sustainability, sustech 2016",1,58.0060
53,"2017 56th annual conference of the society of instrument and control engineers of japan, sice 2017",1,58.3082
54,"2017 ieee conference on energy conversion, cencon 2017",1,58.6103
55,"2019 2nd asia conference on energy and environment engineering, aceee 2019",1,58.9124
56,"2019 ieee 11th international conference on humanoid, nanotechnology, information technology, communication and control, environment, and management, hnicem 2019",1,59.2145
57,"2020 ieee 2nd international conference on electronics, control, optimization and computer science, icecocs 2020",1,59.5166
58,"2020 ieee european technology and engineering management summit, e-tems 2020",1,59.8187
59,"2020 ieee open conference of electrical, electronic and information sciences, estream 2020 - proceedings",1,60.1208
60,"2020 international conference on electrical and information technologies, iceit 2020",1,60.4230
61,"2021 international conference on applied and theoretical electricity, icate 2021 - proceedings",1,60.7251
62,"2022 international conference on renewable energies and smart technologies, rest 2022",1,61.0272
63,"2023 15th seminar on power electronics and control, sepoc 2023",1,61.3293
64,"2023 ieee 2nd industrial electronics society annual on-line conference, oncon 2023",1,61.6314
65,"2023 international conference on advances in electronics, control and communication systems, icaeccs 2023",1,61.9335
66,"2024 9th international conference on technology and energy management, ictem 2024",1,62.2356
67,"2024 ieee international conference on artificial intelligence and green energy, icaige 2024",1,62.5378
68,"7th international youth conference on energy, iyce 2019",1,62.8399
69,"8th international conference on recent advances and innovations in engineering: empowering computing, analytics, and engineering through digital innovation, icraie 2023",1,63.1420
70,agronomy research,1,63.4441
71,aims energy,1,63.7462
72,aistech - iron and steel technology conference proceedings,1,64.0483
73,annals of daaam and proceedings of the international daaam symposium,1,64.3505
74,applied system innovation,1,64.6526
75,applied thermal engineering,1,64.9547
76,asm science journal,1,65.2568
77,asse professional development conference and exposition 2013,1,65.5589
78,atmospheric environment: x,1,65.8610
79,automation in construction,1,66.1631
80,brazilian archives of biology and technology,1,66.4653
81,building simulation applications,1,66.7674
82,buildings,1,67.0695
83,buildsys 2015 - proceedings of the 2nd acm international conference on embedded systems for energy-efficient built,1,67.3716
84,canadian conference on electrical and computer engineering,1,67.6737
85,chemical engineering & technology,1,67.9758
86,chimia,1,68.2779
87,conference record - ias annual meeting (ieee industry applications society),1,68.5801
88,developments in the built environment,1,68.8822
89,eai endorsed transactions on energy web,1,69.1843
90,economic analysis and policy,1,69.4864
91,"ecos 2021 - 34th international conference on efficency, cost, optimization, simulation and environmental impact of energy systems",1,69.7885
92,"eesms 2016 - 2016 ieee workshop on environmental, energy, and structural monitoring systems, proceedings",1,70.0906
93,energy and ai,1,70.3927
94,energy economics,1,70.6949
95,energy for sustainable development,1,70.9970
96,energy informatics,1,71.2991
97,engineering for rural development,1,71.6012
98,engineering proceedings,1,71.9033
99,"environment, development and sustainability",1,72.2054
100,environmental and climate technologies,1,72.5076
101,epe 2018 - proceedings of the 2018 10th international conference and expositions on electrical and power engineering,1,72.8097
102,epe 2020 - proceedings of the 2020 11th international conference and exposition on electrical and power engineering,1,73.1118
103,ergonomics in design,1,73.4139
104,etcm 2024 - 8th ecuador technical chapters meeting,1,73.7160
105,eurasian mining,1,74.0181
106,facilities,1,74.3202
107,frontiers in sustainable cities,1,74.6224
108,fuel,1,74.9245
109,gestao e producao,1,75.2266
110,heliyon,1,75.5287
111,"icinco 2008 - 5th international conference on informatics in control, automation and robotics, proceedings",1,75.8308
